race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,11,リンフレスカンテ,https://db.netkeiba.com/horse/2018104797/,2018104797,牡,8,58.0,田辺,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,1,アトレッタ,https://db.netkeiba.com/horse/2023104008/,2023104008,牡,3,55.0,池添,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,2,アンビアンス,https://db.netkeiba.com/horse/2022106634/,2022106634,牝,4,56.0,吉村,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,3,キシダンチョウ,https://db.netkeiba.com/horse/2023106960/,2023106960,牡,3,55.0,高杉,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,4,コスモグローリー,https://db.netkeiba.com/horse/2022105470/,2022105470,牡,4,58.0,北出,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,5,サイモンシャリオ,https://db.netkeiba.com/horse/2023101569/,2023101569,牡,3,55.0,田口,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,6,サラコスティ,https://db.netkeiba.com/horse/2022104793/,2022104793,牡,4,58.0,レーン,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,7,サンダーバード,https://db.netkeiba.com/horse/2023105292/,2023105292,牝,3,53.0,今村,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,8,スノースケープ,https://db.netkeiba.com/horse/2023107516/,2023107516,牝,3,53.0,川田,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,9,パイオニアスクエア,https://db.netkeiba.com/horse/2022105367/,2022105367,牡,4,58.0,富田,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,10,ブラックシャリマー,https://db.netkeiba.com/horse/2023103246/,2023103246,牡,3,55.0,西村淳,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,11,メイショウキンタイ,https://db.netkeiba.com/horse/2022100068/,2022100068,牡,4,58.0,和田陽,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,12,メイショウナルカミ,https://db.netkeiba.com/horse/2023106560/,2023106560,牡,3,55.0,川田,,
2026-07-25-02-08,202607020108,2026-07-25,中京,8,香嵐渓特別,芝,2000,左,unknown,良,0,13,ロードフィレール,https://db.netkeiba.com/horse/2023105818/,2023105818,牡,3,55.0,武豊,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,1,アスクデッドヒート,https://db.netkeiba.com/horse/2022105839/,2022105839,牡,4,58.0,古川奈,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,2,ヴァイザーバルコ,https://db.netkeiba.com/horse/2020106694/,2020106694,セ,6,58.0,大野,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,3,ウェイクフィールド,https://db.netkeiba.com/horse/2023103500/,2023103500,牡,3,55.0,横山和,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,4,ジュンツバメガエシ,https://db.netkeiba.com/horse/2020103208/,2020103208,牡,6,58.0,岩田康,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,5,ドッビアーコ,https://db.netkeiba.com/horse/2021110130/,2021110130,セ,5,58.0,古川吉,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,6,バースライト,https://db.netkeiba.com/horse/2022104692/,2022104692,牡,4,58.0,浜中,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,7,ボンドロア,https://db.netkeiba.com/horse/2022105485/,2022105485,牡,4,58.0,角田和,,
2026-07-25-03-10,202601010110,2026-07-25,札幌,10,ライラック賞,芝,2600,右,unknown,良,0,8,ライフセービング,https://db.netkeiba.com/horse/2021105285/,2021105285,牡,5,58.0,古川吉,,
