dataset,horse_id,history_index,column,legacy_value,pi_value,diff_abs,diff_pct,cause,join_key
horse_history_raw,2017101772,22.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20220730|豊栄特別(2勝クラス)
horse_history_raw,2017101772,22.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20220730|豊栄特別(2勝クラス)
horse_history_raw,2017101772,23.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20220709|須賀川特別(1勝クラス)
horse_history_raw,2017101772,23.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20220709|須賀川特別(1勝クラス)
horse_history_raw,2017101772,24.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20220521|栃尾特別(1勝クラス)
horse_history_raw,2017101772,24.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20220521|栃尾特別(1勝クラス)
horse_history_raw,2017101772,25.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20220430|浄土平特別(1勝クラス)
horse_history_raw,2017101772,25.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20220430|浄土平特別(1勝クラス)
horse_history_raw,2017101772,26.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20220123|八幡特別(1勝クラス)
horse_history_raw,2017101772,26.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20220123|八幡特別(1勝クラス)
horse_history_raw,2017101772,27.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20211113|3歳以上1勝クラス
horse_history_raw,2017101772,27.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20211113|3歳以上1勝クラス
horse_history_raw,2017101772,28.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20211106|飯坂温泉特別(1勝クラス)
horse_history_raw,2017101772,28.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20211106|飯坂温泉特別(1勝クラス)
horse_history_raw,2017101772,29.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20210919|3歳以上1勝クラス
horse_history_raw,2017101772,29.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20210919|3歳以上1勝クラス
horse_history_raw,2017101772,30.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20210704|3歳以上1勝クラス
horse_history_raw,2017101772,30.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20210704|3歳以上1勝クラス
horse_history_raw,2017101772,31.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20210509|4歳以上1勝クラス
horse_history_raw,2017101772,31.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20210509|4歳以上1勝クラス
horse_history_raw,2017101772,32.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20210327|4歳以上1勝クラス
horse_history_raw,2017101772,32.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20210327|4歳以上1勝クラス
horse_history_raw,2017101772,33.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20201208|C2四組
horse_history_raw,2017101772,33.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20201208|C2四組
horse_history_raw,2017101772,34.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20201130|C2四組
horse_history_raw,2017101772,34.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20201130|C2四組
horse_history_raw,2017101772,35.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20201107|C2九組
horse_history_raw,2017101772,35.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20201107|C2九組
horse_history_raw,2017101772,36.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20201017|C2十一組
horse_history_raw,2017101772,36.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20201017|C2十一組
horse_history_raw,2017101772,37.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20200906|3歳未勝利
horse_history_raw,2017101772,37.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20200906|3歳未勝利
